plot_no,Name,2010sum,2010mean,2010median,2017count,2017sum,2017mean,2018count,2018sum,2018mean,g0ha2018
1,Plot_1Nobiomass,0.116171727888286,0.006114301467805,0.003553237067536,19,0.096335427951999,0.005070285681684,19,0.021910016221227,0.001153158748486,0.019494018755058375
2,Plot2No_biomass,0.028866269858554,0.001519277360977,0.001521609490737,19,0.03049145929981,0.001604813647358,19,0.005444822920254,2.86569627382e-4,0.005074482621218834
3,Plot3No_biomass,0.027693702199031,0.001538539011057,0.001566573453601,18,0.03174797113752,0.001763776174307,18,0.027532249398064,0.001529569411004,0.026889920118195826
4,Plot4No_biomass,0.028176776308101,0.001565376461561,0.001549475477077,18,0.030557956924895,0.001697664273605,18,0.008880922483513,4.93384582417e-4,0.008645897508161303
5,Plot5No_biomass,0.028797556878999,0.001599864271055,0.001732824835926,18,0.012160521204351,6.75584511353e-4,18,0.01262178903562,7.01210501979e-4,0.012466558759841033
6,Plot6No_biomass,0.11683396610897,0.007788931073931,0.005214352160692,15,0.122639274923131,0.008175951661542,15,0.027825754892547,0.00185505032617,0.02984872058027364
7,Plot7No_biomass,0.197053410112858,0.009852670505643,0.009788429830223,20,0.06780797149986,0.003390398574993,20,0.344423603266478,0.017221180163324,0.29414192813731144
8,Plot8No_biomass,0.093679806683213,0.010408867409246,0.01053746137768,9,0.039927270729095,0.004436363414344,9,0.143293766304851,0.015921529589428,0.27435017336976425
9,Augier,2.16873042378575,0.051636438661565,0.046169137582183,42,1.55721337907016,0.03707650902548,42,2.28278249502182,0.054351964167186,0.9119042544718171
10,Bombardopolis1,0.419284855946898,0.032252681226684,0.029912102967501,13,0.257884456310421,0.019837265870032,13,0.536655217409134,0.041281170569933,0.7087534616158571
11,Bombardopolis2,0.339382903650403,0.0424228629563,0.033331040292978,8,0.123453886248171,0.015431735781021,8,0.114300961606205,0.014287620200776001,0.32125568686220124
12,1cuyo,0.382164244540036,0.023885265283752,0.015030831098557,16,0.848258532583714,0.053016158286482,16,0.968734068796039,0.060545879299752,1.071415102069533
13,2cuyo2,0.731784020550549,0.036589201027527,0.037067258730531,20,1.087392648682,0.0543696324341,20,1.1347954813391,0.056739774066955,1.0691213430965647
14,Decameron,0.496191656216979,0.055132406246331,0.058381140232086,9,0.437854578718543,0.048650508746505,9,0.456398036330938,0.05071089292566,0.836534544747147
15,Deluge,1.84629347920418,0.052751242262977,0.052547696977854,35,2.4422386623919,0.069778247496911,35,1.99632364138961,0.057037818325417,0.9969286162417981
16,2Deluger,0.416352006606758,0.02973942904334,0.031297700479627,14,0.448018472990952,0.032001319499354,14,0.556942524388433,0.039781608884888,0.6985050030499568
17,3Deluger,0.571373056620359,0.043951773586181,0.037352982908487,13,0.717666221782565,0.055205093983274,13,0.648253478109837,0.049865652162295,0.9237562548389359
18,1GONaive,0.312893488444388,0.022349534888885,0.020939602516592,14,0.489199973642826,0.034942855260202,14,0.768222970888019,0.054873069349144,1.1898548022080604
