species_binomial,by_spec_grav,family,genus,species_extd,species,wd_avg,all_names
chrysophyllum cainito,0.7,Sapotaceae,Chrysophyllum,cainito,cainito,0.7,kaymit
chrysophyllum spp.,,Sapotaceae,Chrysophyllum,spp.,,,kaymit
cinnamomum camphora,,Lauraceae,Cinnamomum,camphora,camphora,,lorie
cinnamomum camphora,,Lauraceae,Cinnamomum,camphora,camphora,,loye
cinnamomum elongatum,0.47,Lauraceae,Cinnamomum,elongatum,elongatum,0.47,lorie
cinnamomum elongatum,0.47,Lauraceae,Cinnamomum,elongatum,elongatum,0.47,loye
cinnamomum montanum,,Lauraceae,Cinnamomum,montanum,montanum,,lorie
cinnamomum montanum,,Lauraceae,Cinnamomum,montanum,montanum,,loye
cinnamomum spp.,0.43-0.61,Lauraceae,Cinnamomum,spp.,,0.52,lorie
cinnamomum spp.,0.43-0.61,Lauraceae,Cinnamomum,spp.,,0.52,loye
cinnamomum triplinerve,,Lauraceae,Cinnamomum,triplinerve,triplinerve,,lorie
cinnamomum triplinerve,,Lauraceae,Cinnamomum,triplinerve,triplinerve,,loye
citharexylum fruticosum,0.65-0.95,Verbenaceae,Citharexylum,fruticosum,fruticosum,0.8,pendoula
citrus aurantifolia,,Rutaceae,Citrus,aurantifolia,aurantifolia,,citron
citrus limon,,Rutaceae,Citrus,limon,limon,,limon frans
citrus maxima,,Rutaceae,Citrus,maxima,maxima,,chadeque
citrus medica,,Rutaceae,Citrus,medica,medica,,citron
citrus sinensis,,Rutaceae,Citrus,sinensis,sinensis,,zoranj dous
clusia minor,,Clusiaceae,Clusia,minor,minor,,figye
clusia minor,,Clusiaceae,Clusia,minor,minor,,figuier
coccoloba spp.,,Polygonaceae,Coccoloba,spp.,,,risin
coccothrinax argentea,,Arecaceae,Coccothrinax,argentea,argentea,,gwenn
coccothrinax argentea,,Arecaceae,Coccothrinax,argentea,argentea,,latanye
coccothrinax argentea,,Arecaceae,Coccothrinax,argentea,argentea,,yuem
coccothrinax barbadensis,,Arecaceae,Coccothrinax,barbadensis,barbadensis,,gwenn
coccothrinax barbadensis,,Arecaceae,Coccothrinax,barbadensis,barbadensis,,yuem
coccothrinax ekmanii,,Arecaceae,Coccothrinax,ekmanii,ekmanii,,gwenn
coccothrinax ekmanii,,Arecaceae,Coccothrinax,ekmanii,ekmanii,,yuem
coccothrinax gracilis,,Arecaceae,Coccothrinax,gracilis,gracilis,,latanier
coccothrinax gracilis,,Arecaceae,Coccothrinax,gracilis,gracilis,,latanye
coccothrinax spp.,,Arecaceae,Coccothrinax,spp.,,,gwenn
coccothrinax spp.,,Arecaceae,Coccothrinax,spp.,,,yuem
cocos nucifera,,Arecaceae,Cocos,nucifera,nucifera,,kokoye
colubrina arborescens,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685,kapab
colubrina arborescens,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685,capable
colubrina arborescens,0.55-0.82,Rhamnaceae,Colubrina,arborescens,arborescens,0.685,bwa fe
