"Name","plot_no","biomass_tf","Shape_Area","2018_count","2018_mean","2018_media","2018_stdev"
"Pewpapai","31","1",0.62738859224,10,0.055091719329357,0.056364992633462,0.004233453657263
"Campeche","29","1",0.86888441556,14,0.055357463391764,0.05524867773056,0.007554304719984
"1casimir","21","1",1.92797287316,35,0.037277284371001,0.038053795695305,0.003105562474803
"2casimir","22","1",0.82356031727,15,0.011010398467382,0.010799570940435,0.002650340956024
"1Cobana","23","1",1.24272472878,23,0.018877301486614,0.019466977566481,0.003585042660997
"2cobana","24","1",0.60644132140,10,0.006042152596638,0.005956952925771,0.000930330210409
"Lemanguier","30","1",0.92312074614,16,0.053697448922321,0.055568348616362,0.006907858444455
"Lerochekit","25","1",0.45160849423,8,0.035576150286943,0.035232862457633,0.00117741963354
"Pandiassou","26","1",0.45559029347,9,0.067534106473128,0.065358877182007,0.006116806787206
"Pandiassou2","36","1",0.65927801726,11,0.058472267944704,0.055010627955198,0.009053113999494
"PewPapay2","32","1",0.88997775531,16,0.018288272782229,0.016527161933482,0.004895380183895
"Rantnovi","33","1",0.31095039254,5,0.082764422893524,0.080771081149578,0.006270527774813
"Sapate","34","1",0.56861571487,11,0.028128006241538,0.028459215536714,0.004368636795971
"tecase","35","1",1.12061923943,17,0.012546936323976,0.012498924508691,0.002162266493033
"Bombardopolis1","10","1",0.75721417449,13,0.02548397719287,0.025258352980018,0.004853973239143
"Bombardopolis2","11","1",0.35581851938,8,0.014464242267422,0.013879899866879,0.002830807360455
"Augier","9","1",2.50173226448,42,0.045778966641852,0.045320125296712,0.009202876495489
"Lemer","27","1",0.40109009369,6,0.051666228100657,0.050745099782944,0.00329834572042
"1cuyo","12","1",0.90356484555,16,0.049085792386904,0.049362123012543,0.009471185473514
"2cuyo2","13","1",1.06073787548,20,0.050662539340556,0.051324294880033,0.004712099788544
"2GONaive","19","1",0.85843871183,16,0.040139831136912,0.040856692939997,0.003738241354044
"3GONaive","20","1",1.36018641544,25,0.012287341505289,0.011972275562584,0.002495848119168
"1GONaive","18","1",0.64515090938,14,0.043519952999694,0.043680708855391,0.00314655276413
"Decameron","14","1",0.54524395301,9,0.043882261133856,0.045328415930271,0.005333507787408
"2Deluger","16","1",0.79684583922,14,0.043559501213687,0.044515142217278,0.005073177814724
"Deluge","15","1",2.00121364817,35,0.043870837241411,0.043140504509211,0.005102678457447
"3Deluger","17","1",0.70132041020,13,0.042693190563184,0.042593412101269,0.001759985780087
"Malerish","28","1",0.50976977170,9,0.051984086218807,0.052274852991104,0.003067252441433
"Plot2No_biomass","2","0",1.07266912544,19,0.000273688824994,0.000398952164687,0.000240684882582
"Plot3No_biomass","3","0",1.02311948925,18,0.001754622958187,0.001696026709396,0.000233760427512
"Plot4No_biomass","4","0",1.02677004456,18,0.000464488357668,0.000583338842262,0.000250367216078
"Plot5No_biomass","5","0",1.01218161824,18,0.000627002116137,0.000682167737978,0.00038308325431
"Plot6No_biomass","6","0",0.93154034396,15,0.002017569720435,0.001831303117797,0.000454576762282
"Plot7No_biomass","7","0",1.16950557971,20,0.01641362872906,0.016136695630848,0.002405076021137
"Plot8No_biomass","8","0",0.52166193679,9,0.018497372666995,0.019237119704485,0.001235188782337
"Plot_1Nobiomass","1","0",1.12376434075,19,0.001357028236319,0.001309189246967,0.000325765021641
