Name,plot_no,biomass_tf,Shape_Area,2010sum,2010mean,2010median
Pewpapai,"31","1",0.62738859224,0.610228184610605,0.061022818461061,0.061423355713487
Campeche,"29","1",0.86888441556,0.60809887945652,0.043435634246894,0.041932454332709
1casimir,"21","1",1.92797287316,1.27236654050648,0.036353329728757,0.033516373485327
2casimir,"22","1",0.82356031727,0.248641681391746,0.016576112092783,0.013994355686009
1Cobana,"23","1",1.24272472878,0.552304259501398,0.024013228673974,0.01623846590519
2cobana,"24","1",0.60644132140,0.048504353966564,0.004850435396656,0.004182600416243
Lemanguier,"30","1",0.92312074614,0.914257138967514,0.05714107118547,0.053890783339739
Lerochekit,"25","1",0.45160849423,0.225563432089984,0.028195429011248,0.026262334547937
Pandiassou,"26","1",0.45559029347,0.43869524076581,0.048743915640646,0.054480098187923
Pandiassou2,"36","1",0.65927801726,0.69187181442976,0.062897437675433,0.062558636069298
PewPapay2,"32","1",0.88997775531,0.591567527037114,0.03697297043982,0.03597285784781
Rantnovi,"33","1",0.31095039254,0.223495598882437,0.044699119776487,0.046684108674526
Sapate,"34","1",0.56861571487,0.290738154668361,0.026430741333487,0.020027447491884
tecase,"35","1",1.12061923943,0.374797306023538,0.022046900354326,0.023578658699989
Bombardopolis1,"10","1",0.75721417449,0.419284855946898,0.032252681226684,0.029912102967501
Bombardopolis2,"11","1",0.35581851938,0.339382903650403,0.0424228629563,0.033331040292978
Augier,"9","1",2.50173226448,2.16873042378575,0.051636438661565,0.046169137582183
Lemer,"27","1",0.40109009369,0.437469381839037,0.072911563639839,0.072980780154467
1cuyo,"12","1",0.90356484555,0.382164244540036,0.023885265283752,0.015030831098557
2cuyo2,"13","1",1.06073787548,0.731784020550549,0.036589201027527,0.037067258730531
2GONaive,"19","1",0.85843871183,0.090574101079255,0.005660881317453,0.00404401961714
3GONaive,"20","1",1.36018641544,0.221051776316017,0.008842071052641,0.007374313659966
1GONaive,"18","1",0.64515090938,0.312893488444388,0.022349534888885,0.020939602516592
Decameron,"14","1",0.54524395301,0.496191656216979,0.055132406246331,0.058381140232086
2Deluger,"16","1",0.79684583922,0.416352006606758,0.02973942904334,0.031297700479627
Deluge,"15","1",2.00121364817,1.84629347920418,0.052751242262977,0.052547696977854
3Deluger,"17","1",0.70132041020,0.571373056620359,0.043951773586181,0.037352982908487
Malerish,"28","1",0.50976977170,0.421473167836666,0.046830351981852,0.045528829097748
Plot2No_biomass,"2","0",1.07266912544,0.028866269858554,0.001519277360977,0.001521609490737
Plot3No_biomass,"3","0",1.02311948925,0.027693702199031,0.001538539011057,0.001566573453601
Plot4No_biomass,"4","0",1.02677004456,0.028176776308101,0.001565376461561,0.001549475477077
Plot5No_biomass,"5","0",1.01218161824,0.028797556878999,0.001599864271055,0.001732824835926
Plot6No_biomass,"6","0",0.93154034396,0.11683396610897,0.007788931073931,0.005214352160692
Plot7No_biomass,"7","0",1.16950557971,0.197053410112858,0.009852670505643,0.009788429830223
Plot8No_biomass,"8","0",0.52166193679,0.093679806683213,0.010408867409246,0.01053746137768
Plot_1Nobiomass,"1","0",1.12376434075,0.116171727888286,0.006114301467805,0.003553237067536
