abbe marron,0.58
abbe rouge,0.6402908333333334
abe mawon,0.58
abi,0.6680866666666665
abricot,0.724794666783784
abricot batard,0.724794666783784
abricot bord de mer,0.724794666783784
abricot marron,0.5769757868571429
abricot st-domingue,0.724794666783784
abricotier,0.6508835869166667
abricotier biitard,0.34636772182758624
abricotier de st-domingue,0.724794666783784
abricotier de st. domingue,0.724794666783784
abricotier des antilles,0.6508835869166667
acacia,0.767323963
acacia ,0.767323963
acacia de farnese,0.767323963
acacia du senegal,0.767323963
acacia jaune,0.767323963
acacia noir,0.767323963
acacia odorant,0.767323963
acacia piquant,0.767323963
acacia rouge,0.767323963
acacia savane ,0.767323963
acacia tordu,0.767323963
acaciajaune,0.767323963
acajou,0.5129892588000001
acajou ,0.4492285176000001
acajou a planches,0.461782064516129
acajou du honduras,0.5767500000000001
acajou du venezuela,0.5767500000000001
acajou etranger,0.5767500000000001
acajou femelle,0.461782064516129
acajou pays,0.5767500000000001
acajou sauvage,0.707446590909091
acajou-senti,0.461782064516129
acamat,0.8859998333333332
acnistus belladone,0.49806893333333335
acomat,0.7985242059561404
acomat marron,0.8859998333333332
acomat rouge,0.8859998333333332
acrocomia glouglou,0.5567344712
ahouai des antilles,0.72
aibor maurepasia,0.2937748082666667
akasee,0.767323963
akasya,0.767323963
aken,0.7831121739130434
aki,0.7104161422499999
akoma,0.7985242059561404
akoma blan,0.8859998333333332
akoma fran,0.8859998333333332
akoma jon,0.4628906666666667
akoma mawon,0.8859998333333332
akoma wouj,0.8859998333333332
alchornea bois-crapaud,0.4014223684210526
alerit,0.37437761538461534
aleurites,0.37437761538461534
alvaradoa,0.58
amande,0.5348598806396647
amandier,0.7783968815789473
amandier ,0.7783968815789473
amandier a grandes feuilles,0.7783968815789473
amandier a petites feuilles,0.7783968815789473
amandier agrandes feuilles,0.7783968815789473
amandier des indes,0.5348598806396647
amandier tropical,0.5348598806396647
ambo,0.7204301719259262
ameau,0.7269909090909089
amorette male,0.41188571428571424
amorette marron,0.41188571428571424
amouret,0.41188571428571424
amouret mal,0.41188571428571424
amouret mawon,0.41188571428571424
amourette,0.41188571428571424
amourette franche,0.41188571428571424
amyride,0.9625
amyris,0.9625
anacarde,0.4492285176000001
anacardier cajou,0.4492285176000001
anis des bois,0.3935
anis etoile marron,0.579213
anis marron,0.3935
anis mawon,0.3935
anis sauvage,0.3935
anis zetwal,0.579213
aniset,0.3935
anisette,0.3935
ano,0.7269909090909089
anone reticulee,0.4805487873846154
anone zombi,0.4805487873846154
aquin,0.7831121739130434
arabo,0.7204301719259262
arali gran fey,0.43866035000000003
aralie elevee,0.53
aralie grandes feuilles,0.43866035000000003
araucaria,0.4616527166944444
arbre a bombes,0.425212
arbre a caoutchouc,0.48206217120454553
arbre a corail,0.2937748082666667
arbre a pain,
arbre a petites feuilles,1.0138592452210524
arbre acorail,0.2937748082666667
arbre apain,0.6020925371626984
arbre apetites feuilles,1.0138592452210524
arbre au diable,0.34906134615625
arbre de pluie,0.5731017245700935
arbre de vie,1.1089285714285715
arbre soie,
arbre-a-fricasser,0.7104161422499999
arbre-a-savon,0.7677272727272728
areca,0.5567344712
arne veritable,0.794784788611111
arokariya,0.4616527166944444
aspidosperma amer-blanc,0.747806163136986
aulne,0.4774295555555556
aulne acumine,0.4774295555555556
aulne acumine typique,0.4774295555555556
aune,0.4774295555555556
avocat,0.5199304487179488
avocat marron,0.7685938541666666
avocatier,0.5199304487179488
ayitye,0.5834368875889329
bache marron,0.6321763141073171
badannier,0.5348598806396647
badanye,0.5348598806396647
bagage a collier,0.72
bagaj akolye,0.72
baie a ondes,1.0222122727272729
baie aonde,1.0222122727272729
balai de montagne,0.6829172864166668
balai four,0.7580427083333333
balai velours,0.7580427083333333
balata ,0.8677016639999999
balay fou,0.7580427083333333
balay mon,0.6829172864166668
bambou,
banann,
bananne,
bande,0.77
bannann,
bashe marron,0.6321763141073171
basilic arbre,0.767323963
bata kayman,0.7150626092794117
baton casse,0.8194038448275862
baton casse (h);,0.8194038448275862
baton de sorcier,0.2937748082666667
baton kas,0.8194038448275862
baton sosiye,0.2937748082666667
battre a caiman,0.7150626092794117
baume anglais,0.4827179655952381
baya hon,0.7903423909444445
bayahonde,0.7903423909444445
bayahonde francais,0.7903423909444445
bayahonde rouge,0.767323963
bayarone,0.7903423909444445
bayarone francais,0.7903423909444445
bayawonn,0.7903423909444445
bayawonn fran,0.7903423909444445
bayawonn wouj,0.767323963
bayonet,
bayonette,
bazek,0.6433056541961538
beladonn,0.49806893333333335
belladone,0.49806893333333335
belladone des antilles,0.49806893333333335
ben oleitere,0.261744
benzoliv,0.261744
benzolive,0.261744
bignolle,1.0138592452210524
biiton de sorcier,0.2937748082666667
bisiette marron,0.6088714444444445
biziyet mawon,0.6088714444444445
blimblin,0.5479506249999999
blinblin,0.5479506249999999
blinblin long,0.5479506249999999
blinblin longue,0.5479506249999999
bocconie bois-de-coq,
bois a baguettes,0.7581666666666667
bois a cochon,0.6016455747096774
bois acajou,1.0138592452210524
bois amda,0.5670581044878049
bois amer,0.45
bois amer blanc,0.747806163136986
bois ami,0.6950000000000001
bois arada,0.5670581044878049
bois bande,0.77
bois bay-rhum,0.9137500000000001
bois blanc,0.6412994365034015
bois blanc amer,0.747806163136986
bois blanc grandes feuilles,0.5969918575760871
bois bleu,0.8517857142857143
bois bourique,0.7580427083333333
bois bourrique,0.7580427083333333
bois bourro,0.67625
bois brulant,0.43199562162162164
bois ca,0.809873618
bois cabrit,0.6121936363636363
bois cabrite,0.6607672727272726
