by_binomial,creole,BY_spec_grav,family,genus,species,species_abbr,wd_avg
eucalyptus camaldulensis,kaliptis,,Myrtaceae,Eucalyptus,camaldulensis,camaldulensis,
eucalyptus globulus,kaliptis,0.67-0.8,Myrtaceae,Eucalyptus,globulus,globulus,0.7350000000000001
haematoxylon brasiletto,kampech,0.71-0.9,Fabaceae,Haematoxylon,brasiletto,brasiletto,0.8049999999999999
haematoxylon spp.,kampech,,Fabaceae,Haematoxylon,spp.,spp.,
haematoxylon campechianum,kampech,0.54-0.95,Fabaceae,Haematoxylon,campechianum,campechianum,0.745
cassia javanica,kas,,Fabaceae,Cassia,javanica,javanica,
senna siamea,kasya,0.57-0.83,Fabaceae,Senna,siamea,siamea,0.7
ficus elastica,figye,,Moraceae,Ficus,elastica,elastica,
chrysophyllum cainito,kaymit,0.7,Sapotaceae,Chrysophyllum,cainito,cainito,0.7
casuarina spp.,bwa pen,0.78-1.2,Casuarinaceae,Casuarina,spp.,spp.,0.99
melicoccus bijugatus,kenep,,Sapindaceae,Melicoccus,bijugatus,bijugatus,
cocos nucifera,kokoye,,Arecaceae,Cocos,nucifera,nucifera,
bumelia salicifolia,bwa sip,0.9-0.99,Sapotaceae,Bumelia,salicifolia,salicifolia,0.9450000000000001
annona muricata,kowosol,,Annonaceae,Annona,muricata,muricata,
annona spp.,kowosol,0.4-0.5,Annonaceae,Annona,spp.,spp.,0.45
annona spp.,kachiman,0.4-0.5,Annonaceae,Annona,spp.,spp.,0.45
thrinax morrisii,latanye lame,,Arecaceae,Thrinax,morrisii,morrisii,
gliricidia sepium,piyon,0.47-0.75,Fabaceae,Gliricidia,sepium,sepium,0.61
leucaena leucocephala subsp. glabrata,lisina,0.5-0.79,Fabaceae,Leucaena,leucocephala subsp. glabrata,leucocephala,0.645
cinnamomum spp.,lorie,0.43-0.61,Lauraceae,Cinnamomum,spp.,spp.,0.52
ocotea coriacea,lorie,,Lauraceae,Ocotea,coriacea,coriacea,
ocotea globosa,lorie,,Lauraceae,Ocotea,globosa,globosa,
licaria triandra,lorie,0.68-0.96,Lauraceae,Licaria,triandra,triandra,0.8200000000000001
ocotea membranacea,lorie,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45
cinnamomum elongatum,lorie,0.47,Lauraceae,Cinnamomum,elongatum,elongatum,0.47
ocotea floribunda,lorie,,Lauraceae,Ocotea,floribunda,floribunda,
parkinsonia aculeata,madam yas,0.56-0.67,Fabaceae,Parkinsonia,aculeata,aculeata,0.615
mangifera indica,mango,0.45-0.58,Anacardiaceae,Mangifera,indica,indica,0.515
ricinus communis,risin,,Euphorbiaceae,Ricinus,communis,communis,
spondias mombin,monben,0.26-0.4,Anacardiaceae,Spondias,mombin,mombin,0.33
azadirachta indica,nim,0.52-0.65,Meliaceae,Azadirachta,indica,indica,0.585
roystonea borinquena,palmis,,Arecaceae,Roystonea,borinquena,borinquena,
carica papaya,papay,,Caricaceae,Carica,papaya,papaya,
sterculia apetala,pistach,0.26-0.4,Malvaceae,Sterculia,apetala,apetala,0.33
inga vera spp. vera,sikren,0.57-0.75,Fabaceae,Inga,vera spp. vera,vera,0.6599999999999999
hura crepitans,rabi,0.26-0.4,Euphorbiaceae,Hura,crepitans,crepitans,0.33
albizia saman,saman,0.42-0.64,Fabaceae,Albizia,saman,saman,0.53
cupania americana,satanye,0.4,Sapindaceae,Cupania,americana,americana,0.4
cedrela odorata,sed,0.37-0.6,Meliaceae,Cedrela,odorata,odorata,0.485
spondias purpurea,siwel,,Anacardiaceae,Spondias,purpurea,purpurea,
tamarindus indica,tamarenn,0.8-0.9,Fabaceae,Tamarindus,indica,indica,0.8500000000000001
albizia lebbeck,tcha tcha,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555
albizia lebbeck,bwa savann,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555
albizia lebbeck,bwa nwa,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555
allophylus occidentalis,twa pawol,,Sapindaceae,Allophylus,occidentalis,occidentalis,
cecropia peltata,twompet,0.26-0.4,Moraceae,Cecropia,peltata,peltata,0.33
persea americana,zaboka,0.4-0.65,Lauraceae,Persea,americana,americana,0.525
mammea americana,zabriko,0.62,Clusiaceae,Mammea,americana,americana,0.62
acacia farnesiana,zakasya,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999
acacia tortuosa,zakasya,,Fabaceae,Acacia,tortuosa,tortuosa,
acacia macracantha,zakasya,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935
acacia auriculiformis,zakasya,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7
terminalia catappa,zamann,0.45-0.58,Combretaceae,Terminalia,catappa,catappa,0.515
