Name,plot_no,biomass_tf,Shape_Area,2018_count,2018_sum,2018_mean
Pewpapai,"31","1",0.62738859224,10,0.696121908724308,0.069612190872431
Campeche,"29","1",0.86888441556,14,1.07882156223059,0.07705868301647
1casimir,"21","1",1.92797287316,35,1.55362523440272,0.044389292411506
2casimir,"22","1",0.82356031727,15,0.234749176772311,0.015649945118154
1Cobana,"23","1",1.24272472878,23,0.534479248803109,0.023238228208831
2cobana,"24","1",0.60644132140,10,0.061522471136414,0.006152247113641
Lemanguier,"30","1",0.92312074614,16,1.01340335235,0.063337709521875
Lerochekit,"25","1",0.45160849423,8,0.370503321290016,0.046312915161252
Pandiassou,"26","1",0.45559029347,9,0.589871533215046,0.065541281468338
Pandiassou2,"36","1",0.65927801726,11,0.742709888145328,0.067519080740484
PewPapay2,"32","1",0.88997775531,16,0.400909346528351,0.025056834158022
Rantnovi,"33","1",0.31095039254,5,0.515370961278677,0.103074192255735
Sapate,"34","1",0.56861571487,11,0.427672521211207,0.03887932011011
tecase,"35","1",1.12061923943,17,0.265447413781658,0.015614553751862
Bombardopolis1,"10","1",0.75721417449,13,0.536655217409134,0.041281170569933
Bombardopolis2,"11","1",0.35581851938,8,0.114300961606205,0.014287620200776
Augier,"9","1",2.50173226448,42,2.28278249502182,0.054351964167186
Lemer,"27","1",0.40109009369,6,0.395306646823883,0.065884441137314
1cuyo,"12","1",0.90356484555,16,0.968734068796039,0.060545879299752
2cuyo2,"13","1",1.06073787548,20,1.1347954813391,0.056739774066955
2GONaive,"19","1",0.85843871183,16,0.74806579016149,0.046754111885093
3GONaive,"20","1",1.36018641544,25,0.352596483658999,0.01410385934636
1GONaive,"18","1",0.64515090938,14,0.768222970888019,0.054873069349144
Decameron,"14","1",0.54524395301,9,0.456398036330938,0.05071089292566
2Deluger,"16","1",0.79684583922,14,0.556942524388433,0.039781608884888
Deluge,"15","1",2.00121364817,35,1.99632364138961,0.057037818325417
3Deluger,"17","1",0.70132041020,13,0.648253478109837,0.049865652162295
Malerish,"28","1",0.50976977170,9,0.462331669405103,0.051370185489456
Plot2No_biomass,"2","0",1.07266912544,19,0.005444822920254,0.000286569627382
Plot3No_biomass,"3","0",1.02311948925,18,0.027532249398064,0.001529569411004
Plot4No_biomass,"4","0",1.02677004456,18,0.008880922483513,0.000493384582417
Plot5No_biomass,"5","0",1.01218161824,18,0.01262178903562,0.000701210501979
Plot6No_biomass,"6","0",0.93154034396,15,0.027825754892547,0.00185505032617
Plot7No_biomass,"7","0",1.16950557971,20,0.344423603266478,0.017221180163324
Plot8No_biomass,"8","0",0.52166193679,9,0.143293766304851,0.015921529589428
Plot_1Nobiomass,"1","0",1.12376434075,19,0.021910016221227,0.001153158748486
