"family","genus","species","meanWD","sdWD","levelWD","nInd"
"Myrtaceae","Eugenia","confusa",0.81,0.0708232617216773,"species",1
"Myrtaceae","Eugenia","dictyophylla",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","glabrata",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","laevis",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","ligustrina",0.981,0.0708232617216773,"species",1
"Myrtaceae","Eugenia","maleolens",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","odorata",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","procera",0.722760273972603,0.0941339098036177,"genus",73
"Myrtaceae","Eugenia","pseudopsidium",0.8685,0.0708232617216773,"species",4
"Myrtaceae","Eugenia","uniflora",0.8285,0.0708232617216773,"species",2
"Euphorbiaceae","Euphorbia","lactea",0.457,0.0941339098036177,"genus",3
"Euphorbiaceae","Euphorbia","leucocephala",0.457,0.0941339098036177,"genus",3
"Euphorbiaceae","Euphorbia","milii",0.457,0.0941339098036177,"genus",3
"Euphorbiaceae","Euphorbia","petiolaris",0.457,0.0941339098036177,"genus",3
"Euphorbiaceae","Euphorbia","pulcherrima",0.457,0.0941339098036177,"genus",3
"Euphorbiaceae","Euphorbia","tirucalli",0.511,0.0708232617216773,"species",2
"Rubiaceae","Exostema","ellipticum",0.995,0.0941339098036177,"genus",1
"Rubiaceae","Exostema","sanctae-luciae",0.995,0.0941339098036177,"genus",1
"Rubiaceae","Faramea","occidentalis",0.584,0.0708232617216773,"species",2
"Moraceae","Ficus","benjamina",0.459333333333333,0.0708232617216773,"species",3
"Moraceae","Ficus","carica",0.405534661835749,0.0941339098036177,"genus",92
"Moraceae","Ficus","citrifolia",0.4,0.0708232617216773,"species",1
"Moraceae","Ficus","microcarpa",0.405534661835749,0.0941339098036177,"genus",92
"Moraceae","Ficus","religiosa",0.443,0.0708232617216773,"species",1
"Oleaceae","Forestiera","rhamnifolia",0.75792106915718,0.123401724247162,"family",9
"Oleaceae","Forestiera","segregata",0.75792106915718,0.123401724247162,"family",9
